Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154060;      Wachtendonk;NAT;Nationalität;;Insgesamt;8129
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154060;      Wachtendonk;NAT;Nationalität;NATD;Deutsche;7473
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154060;      Wachtendonk;NAT;Nationalität;NATA;Ausländer;656
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154064;      Weeze;NAT;Nationalität;;Insgesamt;10786
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154064;      Weeze;NAT;Nationalität;NATD;Deutsche;8675
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154064;      Weeze;NAT;Nationalität;NATA;Ausländer;2111
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158;    Mettmann, Kreis;NAT;Nationalität;;Insgesamt;485570
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158;    Mettmann, Kreis;NAT;Nationalität;NATD;Deutsche;424534
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158;    Mettmann, Kreis;NAT;Nationalität;NATA;Ausländer;61036
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158004;      Erkrath, Stadt;NAT;Nationalität;;Insgesamt;43992
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158004;      Erkrath, Stadt;NAT;Nationalität;NATD;Deutsche;38415
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158004;      Erkrath, Stadt;NAT;Nationalität;NATA;Ausländer;5577
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158008;      Haan, Stadt;NAT;Nationalität;;Insgesamt;30406
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158008;      Haan, Stadt;NAT;Nationalität;NATD;Deutsche;27453
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158008;      Haan, Stadt;NAT;Nationalität;NATA;Ausländer;2953
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158012;      Heiligenhaus, Stadt;NAT;Nationalität;;Insgesamt;26345
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158012;      Heiligenhaus, Stadt;NAT;Nationalität;NATD;Deutsche;22237
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158012;      Heiligenhaus, Stadt;NAT;Nationalität;NATA;Ausländer;4108
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158016;      Hilden, Stadt;NAT;Nationalität;;Insgesamt;55625
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158016;      Hilden, Stadt;NAT;Nationalität;NATD;Deutsche;48933
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158016;      Hilden, Stadt;NAT;Nationalität;NATA;Ausländer;6692
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158020;      Langenfeld (Rhld.), Stadt;NAT;Nationalität;;Insgesamt;59178
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158020;      Langenfeld (Rhld.), Stadt;NAT;Nationalität;NATD;Deutsche;53169
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158020;      Langenfeld (Rhld.), Stadt;NAT;Nationalität;NATA;Ausländer;6009
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158024;      Mettmann, Stadt;NAT;Nationalität;;Insgesamt;38757
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158024;      Mettmann, Stadt;NAT;Nationalität;NATD;Deutsche;34078
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158024;      Mettmann, Stadt;NAT;Nationalität;NATA;Ausländer;4679
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158026;      Monheim am Rhein, Stadt;NAT;Nationalität;;Insgesamt;40948
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158026;      Monheim am Rhein, Stadt;NAT;Nationalität;NATD;Deutsche;35375
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158026;      Monheim am Rhein, Stadt;NAT;Nationalität;NATA;Ausländer;5573
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158028;      Ratingen, Stadt;NAT;Nationalität;;Insgesamt;87520
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158028;      Ratingen, Stadt;NAT;Nationalität;NATD;Deutsche;76730
